figure_id,usage_status,scientific_status,provenance_type,story_module,claim_or_purpose,figure_path,figure_sha256,plot_script_path,plot_command,input_data_ids,parent_data_ids,derived_data_ids,run_ids,theory_asset_ids,initial_state_recipe_id,reproducibility,source_document_ids,comparison_method,tolerance,notes,comparison_reference_data_id
fig-formal-4-12-point-frequency-response,formal,valid,simulation,02_spinwave_control,Show point-source displacement response versus drive frequency,09_paper_thesis_talks/bishe/thesis_v2/figures/fig4-12_point_source_freq_response.png,05f0ea0d2bffcb42f386b6d6c210aa41dbaca82211db47bdfcdf420370d299f0,09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig4-12_point_source_freq_response.py,python3 09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig4-12_point_source_freq_response.py 04_frustrated_fm_foundation/20260105_frustrated_fm/spin_wave_dynamics/freq_sweep/point_source/results/point_source_summary.txt,data-point-source-frequency-summary,data-point-source-sweep-tables,N/A,run-point-source-frequency-sweep,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-thesis-ch05,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-thesis-ch05:Fig.4-12;plot_script_embeds_summary_values;purpose_is_response_window_not_eigenfrequency,N/A
fig-formal-4-1-direction-selectivity,formal,valid,simulation,02_spinwave_control,Compare Hopfion centroid response for four plane-wave source directions,09_paper_thesis_talks/bishe/thesis_v2/figures/fig4-1_direction_selectivity.png,97bb088a40122f7f639e506a0213224d70ced159348e8a2854909c8d7a06e8c5,95_shared_scripts/handoff_delivery/validate_plot_inputs.py,/usr/bin/python3 95_shared_scripts/handoff_delivery/validate_plot_inputs.py --output shared/redraw_products/02_spinwave_control.csv 95_shared_scripts/handoff_delivery/figure_data/direction_srcX_vibX_centroid.csv 95_shared_scripts/handoff_delivery/figure_data/direction_srcX_vibZ_centroid.csv 95_shared_scripts/handoff_delivery/figure_data/direction_srcY_vibX_centroid.csv 95_shared_scripts/handoff_delivery/figure_data/direction_srcZ_vibX_centroid.csv 95_shared_scripts/handoff_delivery/figure_data/direction_srcZ_vibZ_centroid.csv,data-direction-srcx-vibx-centroid;data-direction-srcx-vibz-centroid;data-direction-srcy-vibx-centroid;data-direction-srcz-vibx-centroid;data-direction-srcz-vibz-centroid,data-ref-direction-selectivity-field-series,N/A,run-plane-direction-selectivity,N/A,init-analytic-axisz-r8r4,numeric_product_reproduced,doc-thesis-ch05,numpy.testing.assert_allclose,rtol=0;atol=0,source_locator=doc-thesis-ch05:Fig.4-1;spatial_fields_must_be_reduced_to_centroid_data;full_fields_are_excluded,data-reference-module02-direction
fig-formal-4-3-srcx-displacement,formal,valid,simulation,02_spinwave_control,Show in-plane displacement response for the srcX frequency sweep,09_paper_thesis_talks/bishe/thesis_v2/figures/fig4-3_srcX_displacement.png,ca44794795c70ba289d4d741c0191c95325b94a0eb62beef5460dd1763509209,09_paper_thesis_talks/bishe/thesis_v2/figures/make_fig4-3_srcX_displacement.py,python3 09_paper_thesis_talks/bishe/thesis_v2/figures/make_fig4-3_srcX_displacement.py 09_paper_thesis_talks/bishe/thesis_v2/figures/fig5-3_srcX_cache.csv,data-srcx-displacement-cache-csv,data-ref-srcx-frequency-field-series,N/A,run-plane-srcx-frequency-sweep,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-thesis-ch05,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-thesis-ch05:Fig.4-3;response_plot_only;no_eigenmode_claim,N/A
fig-formal-4-5-srcz-trajectory,formal,valid,simulation,02_spinwave_control,Show axial trajectory response for the srcZ frequency sweep,09_paper_thesis_talks/bishe/thesis_v2/figures/fig4-5_srcZ_trajectory.png,ceea0ea2355636697b9a9e3512f66f17fd7f529e54cb020180528fff4d7a1a86,09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig5-3_srcZ_trajectory.py,python3 09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig5-3_srcZ_trajectory.py 09_paper_thesis_talks/bishe/thesis_v2/figures/fig5-3_srcZ_cache.csv,data-srcz-trajectory-cache-csv,data-ref-srcz-frequency-field-series,N/A,run-plane-srcz-frequency-sweep,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-thesis-ch05,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-thesis-ch05:Fig.4-5;kinematic_response_only;no_resonance_or_eigenmode_claim,N/A
fig-formal-4-8-amplitude-trajectory,formal,valid,simulation,02_spinwave_control,Compare trajectory response across the sampled drive amplitudes,09_paper_thesis_talks/bishe/thesis_v2/figures/fig4-8_amplitude_trajectory.png,a4307c47ad8c25328d69ebb0be2b168d32bc9fc26b0bba2bfe695aa57668d856,09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig5-6_amplitude_trajectory.py,python3 09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig5-6_amplitude_trajectory.py 09_paper_thesis_talks/bishe/thesis_v2/figures/fig5-6_amplitude_cache.csv,data-amplitude-trajectory-cache-csv,data-ref-amplitude-sweep-field-series,N/A,run-plane-amplitude-sweep,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-thesis-ch05,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-thesis-ch05:Fig.4-8;qualitative_sampled_amplitude_window_only;old_three_point_power_law_claim_not_reused,N/A
fig-formal-4-10-multisource-baseline,formal,valid,simulation,02_spinwave_control,Compare the individual source baselines used by multisource control,09_paper_thesis_talks/bishe/thesis_v2/figures/fig4-10_multisource_baseline.png,2b21d16a95a2e882044f9f03f100dae0ebf7e1c8398035e9e66bc14c122afde1,09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig5-7_multisource_baseline.py,python3 09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig5-7_multisource_baseline.py 09_paper_thesis_talks/bishe/thesis_v2/figures/fig5-7_baseline_cache.csv,data-multisource-baseline-cache-csv,data-ref-multisource-baseline-field-series,N/A,run-multisource-baselines,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-thesis-ch05,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-thesis-ch05:Fig.4-10;baseline_kinematics_only,N/A
fig-formal-4-11-frequency-switch,formal,superseded,simulation,02_spinwave_control,Archive the former bidirectional frequency-switch interpretation,09_paper_thesis_talks/bishe/thesis_v2/figures/fig4-11_freq_switch_z_control.png,8e5e2e2f41dc8443af91a62eaab8e575b2911e7bfb5e2351dc4f20d5b8df12a0,09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig4-11_freq_switch_z_control.py,python3 09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig4-11_freq_switch_z_control.py 04_frustrated_fm_foundation/20260105_frustrated_fm/spin_wave_dynamics/multisource_control/bidirectional_z/freq_switch_bidirectional_v3.out/table.txt,data-frequency-switch-v3-series,data-frequency-switch-v3-tables,N/A,run-frequency-switch-v3,N/A,init-analytic-axisz-r8r4,historical_only,doc-thesis-ch05;doc-progress-hopfion,not_run,N/A,source_locator=doc-thesis-ch05:Fig.4-11;trajectory_collapses_near_0.91ns;thesis_panel_stops_at_0.80ns;must_route_to_superseded_archive,N/A
fig-formal-6-1-lif-analogy,formal,superseded,schematic,04_lif_device,Archive the analytic toy waveform formerly used as a LIF analogy,09_paper_thesis_talks/bishe/thesis_v2/figures/fig6-1_lif_analogy.png,dab3b7da120f845199232cfa159dbc3dd6ffe9a19614e6f70806d88b84abc332,09_paper_thesis_talks/bishe/thesis_v2/figures/make_fig6-1_lif_analogy.py,python3 09_paper_thesis_talks/bishe/thesis_v2/figures/make_fig6-1_lif_analogy.py,N/A,N/A,N/A,N/A,N/A,N/A,historical_generator_only,doc-thesis-ch06;doc-progress-hopfion,not_run,N/A,source_locator=doc-thesis-ch06:Fig.6-1;generator_creates_an_analytic_toy_curve_not_simulation_data;phase2_original_design_failed,N/A
fig-formal-6-2-device-concept,formal,unverified,external,04_lif_device,Externally generated composite device concept retained only as an unverified thesis dependency,09_paper_thesis_talks/bishe/thesis_v2/figures/fig6-2_device_concept.png,9afe113277156c6932643e813d498d89b20f3debdf258b1c82923c07d0d9496e,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,embedded_c2pa_source_identity_only,doc-fig6-2-c2pa;doc-thesis-ch06,embedded_c2pa_manifest_review,N/A,source_locator=embedded_C2PA:urn:c2pa:e89989ce-6220-a4bf-9f50-426fa3b795d3;claim_generator=Google_C2PA_Core_Generator_Library;digital_source_type=composite;ingredient_relationship=parentOf;prompt_and_editable_source=unavailable;device_claims_not_verified;must_route_to_historical_archive,N/A
fig-current-ringdown-overlay,current_only,superseded,simulation,03_mechanism_and_theory,Retain the ringdown and driven-spectrum overlay as a diagnostic history only,06_eigenmode_frequency_mechanism/hopfion_eigenmode_ringdown_20260608/figures/ringdown_fft_drive_overlay.png,0ed156e2961506fcd9fe2f6b07de91bb22c08787b01fdbd81c2cd5670a89f2b7,06_eigenmode_frequency_mechanism/hopfion_eigenmode_ringdown_20260608/analysis/analyze_ringdown.py,python3 06_eigenmode_frequency_mechanism/hopfion_eigenmode_ringdown_20260608/analysis/analyze_ringdown.py 06_eigenmode_frequency_mechanism/hopfion_eigenmode_ringdown_20260608/results/ringdown_power_spectra.csv 06_eigenmode_frequency_mechanism/hopfion_eigenmode_ringdown_20260608/results/drive_vs_ringdown_comparison.csv,data-ringdown-power-spectra;data-ringdown-drive-comparison,data-ringdown-table-series,N/A,run-hopfion-ringdown,N/A,init-analytic-axisz-r8r4,historical_only,doc-progress-hopfion,not_run,N/A,source_locator=doc-progress-hopfion:ringdown_20260608;173.66GHz_peak_is_quench_dominated_and_not_a_confirmed_eigenfrequency;must_route_to_superseded_archive,N/A
fig-current-energy-audit-spectrum,current_only,valid,simulation,03_mechanism_and_theory,Report signed background-corrected energy-rate spectra and fit-window sensitivity,06_eigenmode_frequency_mechanism/hopfion_energy_absorption_audit_20260608/figures/energy_absorption_audit_spectrum.png,64efe7dcca377e90b45d5e5215febb6fbf680a158159a127bb80f6ed6dc733c1,95_shared_scripts/handoff_delivery/validate_plot_inputs.py,/usr/bin/python3 95_shared_scripts/handoff_delivery/validate_plot_inputs.py --output shared/redraw_products/03_mechanism_and_theory.csv 06_eigenmode_frequency_mechanism/hopfion_energy_absorption_audit_20260608/results/energy_absorption_audit_records.csv 06_eigenmode_frequency_mechanism/hopfion_energy_absorption_audit_20260608/results/energy_absorption_window_sensitivity.csv,data-energy-audit-records-csv;data-energy-audit-window-sensitivity-csv,data-plane-frequency-sweep-tables;data-centered-background-table,N/A,run-plane-srcx-frequency-sweep;run-plane-srcz-frequency-sweep;run-centered-stability-ku10k,N/A,init-analytic-axisz-r8r4,numeric_product_reproduced,doc-progress-hopfion,numpy.testing.assert_allclose,rtol=0;atol=0,source_locator=doc-progress-hopfion:energy_absorption_audit_20260608;interpret_as_signed_energy_rate_not_net_absorption,data-reference-module03-energy
fig-current-energy-audit-traces,current_only,valid,simulation,03_mechanism_and_theory,Show representative energy traces and declared linear fit windows,06_eigenmode_frequency_mechanism/hopfion_energy_absorption_audit_20260608/figures/energy_trace_fit_examples.png,4a384679e722ba10952479671159bf62f7ab6984e6b815c3a4110141d801105a,06_eigenmode_frequency_mechanism/hopfion_energy_absorption_audit_20260608/analysis/energy_absorption_audit.py,python3 06_eigenmode_frequency_mechanism/hopfion_energy_absorption_audit_20260608/analysis/energy_absorption_audit.py 06_eigenmode_frequency_mechanism/hopfion_energy_absorption_audit_20260608/results/energy_absorption_window_sensitivity.csv,data-energy-audit-window-sensitivity-csv,data-plane-frequency-sweep-tables;data-centered-background-table,N/A,run-plane-srcx-frequency-sweep;run-plane-srcz-frequency-sweep;run-centered-stability-ku10k,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-progress-hopfion,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-progress-hopfion:energy_absorption_audit_20260608;interpret_as_fit_diagnostic_not_net_absorption,N/A
fig-current-mode-map-deformation-timeseries,current_only,valid,simulation,03_mechanism_and_theory,Report stroboscopic deformation and centroid time series for four driven runs,06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/figures/deformation_timeseries_overview.png,dd9777049ed96071cfa99b54b6b19fd307e65913df3ba7e75bf7968cc3bb1667,06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/analysis/mode_map_analysis.py,python3 06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/analysis/mode_map_analysis.py 06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/results/deformation_timeseries.csv,data-mode-map-deformation-timeseries-csv,data-ref-mode-map-four-field-series,N/A,run-plane-srcx-200ghz;run-plane-srcx-1000ghz;run-plane-srcz-100ghz;run-plane-srcz-1100ghz,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-progress-hopfion,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-progress-hopfion:hopfion_mode_map_20260608;stroboscopic_deformation_only;script_root_is_broken_after_directory_migration,N/A
fig-current-mode-map-rms-overview,current_only,valid,simulation,03_mechanism_and_theory,Compare scalar localization summaries for four stroboscopically sampled driven runs,06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/figures/mode_map_rms_xz_overview.png,94a7eb5f201962019a14d172df44c297e12c3408e6ca12c3b126fa01fc5ec179,06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/analysis/mode_map_analysis.py,python3 06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/analysis/mode_map_analysis.py 06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/results/mode_map_summary.csv,data-mode-map-summary-csv,data-ref-mode-map-four-field-series,N/A,run-plane-srcx-200ghz;run-plane-srcx-1000ghz;run-plane-srcz-100ghz;run-plane-srcz-1100ghz,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-progress-hopfion,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-progress-hopfion:hopfion_mode_map_20260608;localization_summary_only;not_an_eigenmode_map;script_root_is_broken_after_directory_migration,N/A
fig-current-mode-map-srcx-1000,current_only,valid,simulation,03_mechanism_and_theory,Show stroboscopic deformation projections for the srcX 1000 GHz run,06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/figures/srcX_1000GHz_deformation_maps.png,7f728f69611790a5e7805d36cfe36b6bed071e99b715b42afb10615142f5df96,06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/analysis/mode_map_analysis.py,python3 06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/analysis/mode_map_analysis.py 95_shared_scripts/handoff_delivery/figure_data/mode_map_srcx1000_projections.csv,data-mode-map-srcx1000-projections-npz,data-ref-srcx1000-field-series,N/A,run-plane-srcx-1000ghz,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-progress-hopfion,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-progress-hopfion:hopfion_mode_map_20260608;stroboscopic_deformation_projection_only;full_fields_are_excluded,N/A
fig-current-mode-map-srcx-200,current_only,valid,simulation,03_mechanism_and_theory,Show stroboscopic deformation projections for the srcX 200 GHz run,06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/figures/srcX_200GHz_deformation_maps.png,2c12235e962614de750fa5ce399a18b7540a5ce5519e3f57045f756466b798cc,06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/analysis/mode_map_analysis.py,python3 06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/analysis/mode_map_analysis.py 95_shared_scripts/handoff_delivery/figure_data/mode_map_srcx200_projections.csv,data-mode-map-srcx200-projections-npz,data-ref-srcx200-field-series,N/A,run-plane-srcx-200ghz,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-progress-hopfion,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-progress-hopfion:hopfion_mode_map_20260608;stroboscopic_deformation_projection_only;full_fields_are_excluded,N/A
fig-current-mode-map-srcz-100,current_only,valid,simulation,03_mechanism_and_theory,Show stroboscopic deformation projections for the srcZ 100 GHz run,06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/figures/srcZ_100GHz_deformation_maps.png,dca954a3905c955173e09a236694d834405cc6e147df28e6e6f251150bb28931,06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/analysis/mode_map_analysis.py,python3 06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/analysis/mode_map_analysis.py 95_shared_scripts/handoff_delivery/figure_data/mode_map_srcz100_projections.csv,data-mode-map-srcz100-projections-npz,data-ref-srcz100-field-series,N/A,run-plane-srcz-100ghz,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-progress-hopfion,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-progress-hopfion:hopfion_mode_map_20260608;stroboscopic_deformation_projection_only;full_fields_are_excluded,N/A
fig-current-mode-map-srcz-1100,current_only,valid,simulation,03_mechanism_and_theory,Show stroboscopic deformation projections for the srcZ 1100 GHz run,06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/figures/srcZ_1100GHz_deformation_maps.png,7c5a537ec17963d28a5d6aed3bf62b316f87f4d19b9fe0a767057543d37ff11c,06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/analysis/mode_map_analysis.py,python3 06_eigenmode_frequency_mechanism/hopfion_mode_map_20260608/analysis/mode_map_analysis.py 95_shared_scripts/handoff_delivery/figure_data/mode_map_srcz1100_projections.csv,data-mode-map-srcz1100-projections-npz,data-ref-srcz1100-field-series,N/A,run-plane-srcz-1100ghz,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-progress-hopfion,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-progress-hopfion:hopfion_mode_map_20260608;stroboscopic_deformation_projection_only;full_fields_are_excluded,N/A
